/homes/as3159/.local/lib/python3.6/site-packages/torch/nn/modules/container.py:141: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
Torchviz was not found.
Current task: 0
Saving weights before core set training
Accuracy is 0.9995271867612293
Accuracy is 0.9769833496571988
Reloading previous weights after core set training
creating a new head
Current task: 2
Epoch: 0001 cost= 0.975673854
Epoch: 0002 cost= 0.879250050
Epoch: 0003 cost= 0.632209003
Epoch: 0004 cost= 0.602786422
Epoch: 0005 cost= 0.490248263
Epoch: 0006 cost= 0.492522776
Epoch: 0007 cost= 0.423424929
Epoch: 0008 cost= 0.405467153
Epoch: 0009 cost= 0.342277646
Epoch: 0010 cost= 0.337054700
Epoch: 0011 cost= 0.338576704
Epoch: 0012 cost= 0.328759521
Epoch: 0013 cost= 0.342720330
Epoch: 0014 cost= 0.326084286
Epoch: 0015 cost= 0.318249971
Epoch: 0016 cost= 0.320537150
Epoch: 0017 cost= 0.296211243
Epoch: 0018 cost= 0.293682456
Epoch: 0019 cost= 0.287778229
Epoch: 0020 cost= 0.291930765
Epoch: 0021 cost= 0.299243748
Epoch: 0022 cost= 0.290007770
Epoch: 0023 cost= 0.280590713
Epoch: 0024 cost= 0.278245360
Epoch: 0025 cost= 0.281380355
Epoch: 0026 cost= 0.278821170
Epoch: 0027 cost= 0.280631065
Epoch: 0028 cost= 0.285915881
Epoch: 0029 cost= 0.277266085
Epoch: 0030 cost= 0.271099031
Epoch: 0031 cost= 0.266298234
Epoch: 0032 cost= 0.267731845
Epoch: 0033 cost= 0.263146251
Epoch: 0034 cost= 0.265579939
Epoch: 0035 cost= 0.267284602
Epoch: 0036 cost= 0.256472915
Epoch: 0037 cost= 0.248946905
Epoch: 0038 cost= 0.251393557
Epoch: 0039 cost= 0.265313923
Epoch: 0040 cost= 0.243019745
Epoch: 0041 cost= 0.262793243
Epoch: 0042 cost= 0.242380887
Epoch: 0043 cost= 0.247382790
Epoch: 0044 cost= 0.245740086
Epoch: 0045 cost= 0.242130935
Epoch: 0046 cost= 0.249240220
Epoch: 0047 cost= 0.246463507
Epoch: 0048 cost= 0.233473927
Epoch: 0049 cost= 0.235242963
Epoch: 0050 cost= 0.240273133
Epoch: 0051 cost= 0.233577937
Epoch: 0052 cost= 0.234942883
Epoch: 0053 cost= 0.231627181
Epoch: 0054 cost= 0.234812558
Epoch: 0055 cost= 0.233208984
Epoch: 0056 cost= 0.234161377
